,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1273,Alaska,US,2020-04-12 23:18:15,61.3707,-152.4044,272,8,66.0,264.0,2.0,45.50404936,8038.0,31.0,2.9411764710000003,84000002,USA,1344.711576,11.39705882
1332,Alaska,US,2020-04-13 23:07:54,61.3707,-152.4044,277,8,85.0,269.0,2.0,46.34052085407085,7830.0,32.0,2.888086642599278,84000002,USA,1309.9143620482844,11.552346570397113
584,Alaska,US,2020-04-14 23:33:31,61.3707,-152.4044,285,9,98.0,276.0,2.0,47.67887525,8348.0,32.0,3.157894737,84000002,USA,1396.572809,11.22807018
525,Alaska,US,2020-04-15 22:56:51,61.3707,-152.4044,293,9,106.0,284.0,2.0,49.01722963986556,8664.0,34.0,3.0716723549488054,84000002,USA,1449.4378075078337,11.604095563139932
1739,Alaska,US,2020-04-16 23:30:51,61.3707,-152.4044,300,9,110.0,291.0,2.0,50.18828973365075,8735.0,35.0,3.0,84000002,USA,1461.3157027447974,11.666666666666664
1798,Alaska,US,2020-04-17 23:30:52,61.3707,-152.4044,309,9,128.0,300.0,2.0,51.69393842566028,9450.0,36.0,2.9126213592233015,84000002,USA,1580.9311266099985,11.650485436893206
875,Alaska,US,2020-04-18 22:32:47,61.3707,-152.4044,314,9,147.0,305.0,2.0,52.530409921221114,9655.0,39.0,2.8662420382165603,84000002,USA,1615.2264579279931,12.420382165605098
1015,Alaska,US,2020-04-19 23:41:01,61.3707,-152.4044,319,9,153.0,310.0,2.0,53.36688141678196,9895.0,37.0,2.8213166144200628,84000002,USA,1655.3770897149136,11.598746081504702
350,Alaska,US,2020-04-20 23:36:47,61.3707,-152.4044,321,9,161.0,312.0,2.0,53.701470015006294,10124.0,46.0,2.803738317757009,84000002,USA,1693.6874842116006,14.330218068535824
291,Alaska,US,2020-04-21 23:40:34,61.3707,-152.4044,329,9,168.0,320.0,2.0,55.03982440790365,11119.0,42.0,2.735562310030395,84000002,USA,1860.1453118282086,12.76595744680851
2207,Alaska,US,2020-04-22 23:40:26,61.3707,-152.4044,335,9,196.0,326.0,2.0,56.043590202576674,12159.0,39.0,2.6865671641791047,84000002,USA,2034.1313829048647,11.64179104477612
2266,Alaska,US,2020-04-24 03:33:00,61.3707,-152.4044,337,9,209.0,328.0,2.0,56.378178800801,12161.0,42.0,2.6706231454005933,84000002,USA,2034.4659715030887,12.462908011869436
3544,Alaska,US,2020-04-25 06:32:46,61.3707,-152.4044,339,9,208.0,330.0,2.0,56.71276739902535,12281.0,36.0,2.6548672566371683,84000002,USA,2054.5412873965493,10.619469026548671
3485,Alaska,US,2020-04-26 02:32:45,61.3707,-152.4044,339,9,217.0,330.0,2.0,56.71276739902535,15732.0,32.0,2.6548672566371683,84000002,USA,2631.873913632645,9.43952802359882
1155,Alaska,US,2020-04-27 02:32:46,61.3707,-152.4044,340,9,217.0,331.0,2.0,56.88006169813751,16177.0,14.0,2.647058823529412,84000002,USA,2706.31987673756,4.117647058823529
1214,Alaska,US,2020-04-28 02:32:46,61.3707,-152.4044,345,9,218.0,336.0,2.0,57.71653319369836,16256.0,10.0,2.608695652173913,84000002,USA,2719.5361263674217,2.898550724637681
1973,Alaska,US,2020-04-29 02:32:33,61.3707,-152.4044,351,9,228.0,342.0,2.0,58.72029898837138,17089.0,,2.5641025641025643,84000002,USA,2858.892277527859,
2032,Alaska,US,2020-04-30 02:32:31,61.3707,-152.4044,355,9,240.0,346.0,2.0,59.389476184820055,19119.0,,2.5352112676056344,84000002,USA,3198.499704725562,
1565,Alaska,US,2020-05-01 02:32:32,61.3707,-152.4044,355,9,252.0,94.0,2.0,59.389476184820055,19119.0,,2.5352112676056344,84000002,USA,3198.499704725562,
117,Alaska,US,2020-05-02 02:32:31,61.3707,-152.4044,364,9,254.0,101.0,2.0,60.89512487682957,20325.0,,2.4725274725274726,84000002,USA,3400.2566294548383,
2383,Alaska,US,2020-05-03 02:32:33,61.3707,-152.4044,365,9,261.0,95.0,2.0,61.06241917594174,21399.0,,2.4657534246575343,84000002,USA,3579.930706701308,
2325,Alaska,US,2020-05-04 02:32:32,61.3707,-152.4044,368,9,262.0,97.0,2.0,61.56430207327825,21578.0,,2.4456521739130435,84000002,USA,3609.8763862423857,
2789,Alaska,US,2020-05-05 02:32:38,61.3707,-152.4044,370,9,263.0,98.0,2.0,61.89889067150258,21723.0,,2.4324324324324325,84000002,USA,3634.1340596136506,
2847,Alaska,US,2020-05-06 02:32:35,61.3707,-152.4044,371,9,277.0,85.0,2.0,62.066184970614756,22692.0,,2.4258760107816717,84000002,USA,3796.2422354533423,
1681,Alaska,US,2020-05-07 02:32:32,61.3707,-152.4044,372,10,284.0,78.0,2.0,62.233479269726935,23655.0,,2.6881720430107525,84000002,USA,3957.3466454983613,
1623,Alaska,US,2020-05-08 02:32:36,61.3707,-152.4044,374,10,291.0,73.0,2.0,62.56806786795126,24341.0,,2.6737967914438503,84000002,USA,4072.1105346893096,
2615,Alaska,US,2020-05-09 02:32:39,61.3707,-152.4044,377,10,305.0,62.0,2.0,63.06995076528777,25473.0,,2.6525198938992043,84000002,USA,4261.487681284285,
2557,Alaska,US,2020-05-10 02:32:34,61.3707,-152.4044,378,10,318.0,50.0,2.0,63.237245064399936,26449.0,,2.6455026455026456,84000002,USA,4424.766917217762,
1391,Alaska,US,2020-05-11 02:32:34,61.3707,-152.4044,379,10,324.0,45.0,2.0,63.40453936351211,27364.0,,2.638522427440633,84000002,USA,4577.841200905396,
