,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1306,New Mexico,US,2020-04-12 23:18:15,34.8405,-106.2485,1245,26,235.0,1219.0,35.0,74.66119111,28692.0,78.0,2.088353414,84000035,USA,1720.6256190000001,6.2650602410000005
1366,New Mexico,US,2020-04-13 23:07:54,34.8405,-106.2485,1262,26,295.0,1236.0,35.0,75.68066119231223,30515.0,80.0,2.060221870047544,84000035,USA,1829.9487926175973,6.339144215530904
618,New Mexico,US,2020-04-14 23:33:31,34.8405,-106.2485,1345,31,304.0,1314.0,35.0,80.65807393,31970.0,181.0,2.3048327140000002,84000035,USA,1917.203438,13.45724907
559,New Mexico,US,2020-04-15 22:56:51,34.8405,-106.2485,1484,36,340.0,1448.0,35.0,88.99374105340044,32850.0,181.0,2.4258760107816717,84000035,USA,1969.976006471836,12.196765498652294
1773,New Mexico,US,2020-04-16 23:30:51,34.8405,-106.2485,1484,36,353.0,1448.0,35.0,88.99374105340044,33394.0,215.0,2.4258760107816717,84000035,USA,2002.5990490143224,14.487870619946092
1832,New Mexico,US,2020-04-17 23:30:52,34.8405,-106.2485,1597,44,353.0,1553.0,35.0,95.77021864035076,34488.0,230.0,2.7551659361302443,84000035,USA,2068.2049470685142,14.402003757044456
909,New Mexico,US,2020-04-18 22:32:47,34.8405,-106.2485,1798,53,382.0,1745.0,35.0,107.82395310917386,35613.0,242.0,2.947719688542825,84000035,USA,2135.6698787970013,13.459399332591767
1049,New Mexico,US,2020-04-19 23:41:01,34.8405,-106.2485,1845,55,465.0,1790.0,35.0,110.64248803471956,36632.0,258.0,2.9810298102981028,84000035,USA,2196.77811473596,13.983739837398375
384,New Mexico,US,2020-04-20 23:36:47,34.8405,-106.2485,1971,58,487.0,1913.0,35.0,118.19856038831017,37042.0,274.0,2.942668696093353,84000035,USA,2221.365334299231,13.901572805682395
325,New Mexico,US,2020-04-21 23:40:34,34.8405,-106.2485,1971,58,501.0,1913.0,35.0,118.19856038831017,38755.0,291.0,2.942668696093353,84000035,USA,2324.091937011141,14.764079147640789
2241,New Mexico,US,2020-04-22 23:40:26,34.8405,-106.2485,2210,71,529.0,2139.0,35.0,132.53111032885107,40877.0,306.0,3.2126696832579187,84000035,USA,2451.3457904581196,13.846153846153848
2300,New Mexico,US,2020-04-24 03:33:00,34.8405,-106.2485,2379,78,547.0,2301.0,35.0,142.66584229517497,41232.0,331.0,3.278688524590164,84000035,USA,2472.634724470221,13.913408995376209
3578,New Mexico,US,2020-04-25 06:32:46,34.8405,-106.2485,2521,84,614.0,2437.0,35.0,151.18141590001517,51510.0,412.0,3.332011106703689,84000035,USA,3088.9943407416827,16.342721142403807
3519,New Mexico,US,2020-04-26 02:32:45,34.8405,-106.2485,2660,93,614.0,2567.0,35.0,159.51708302024608,51510.0,412.0,3.4962406015037595,84000035,USA,3088.9943407416827,15.48872180451128
1189,New Mexico,US,2020-04-27 02:32:46,34.8405,-106.2485,2726,99,614.0,2627.0,35.0,163.4750256816507,53735.0,412.0,3.631694790902421,84000035,USA,3222.4249834935804,15.11371973587674
1248,New Mexico,US,2020-04-28 02:32:46,34.8405,-106.2485,2825,99,650.0,2726.0,35.0,169.4119396737576,56615.0,412.0,3.504424778761062,84000035,USA,3395.1352087185082,14.584070796460175
2007,New Mexico,US,2020-04-29 02:32:33,34.8405,-106.2485,2974,105,666.0,2869.0,35.0,178.34729507601952,58803.0,481.0,3.5305985205110963,84000035,USA,3526.347004826891,16.17350369872226
2066,New Mexico,US,2020-04-30 02:32:31,34.8405,-106.2485,3213,112,705.0,3101.0,35.0,192.6798450165604,61745.0,509.0,3.4858387799564268,84000035,USA,3702.7752974004106,15.841892312480548
1599,New Mexico,US,2020-05-01 02:32:32,34.8405,-106.2485,3411,123,734.0,2554.0,35.0,204.55367300077418,65085.0,536.0,3.605980650835532,84000035,USA,3903.0711835987654,15.713866901201994
151,New Mexico,US,2020-05-02 02:32:31,34.8405,-106.2485,3513,131,760.0,2622.0,35.0,210.67049347749042,67869.0,536.0,3.729006547110731,84000035,USA,4070.0244013161964,15.257614574437802
2417,New Mexico,US,2020-05-03 02:32:33,34.8405,-106.2485,3732,138,785.0,2809.0,35.0,223.8036668539693,71118.0,587.0,3.6977491961414786,84000035,USA,4264.863124148068,15.728831725616294
2359,New Mexico,US,2020-05-04 02:32:32,34.8405,-106.2485,3850,151,812.0,2887.0,35.0,230.87998858193512,74944.0,587.0,3.9220779220779214,84000035,USA,4494.30386085313,15.246753246753249
2823,New Mexico,US,2020-05-05 02:32:38,34.8405,-106.2485,4031,156,832.0,3043.0,35.0,241.7343464866962,77977.0,587.0,3.870007442322005,84000035,USA,4676.189316793131,14.562143388737287
2881,New Mexico,US,2020-05-06 02:32:35,34.8405,-106.2485,4138,162,842.0,3134.0,35.0,248.1510111044279,81720.0,667.0,3.9149347510874817,84000035,USA,4900.652640757336,16.11889801836636
1715,New Mexico,US,2020-05-07 02:32:32,34.8405,-106.2485,4291,169,964.0,3158.0,35.0,257.3262418195023,83251.0,687.0,3.938475879748311,84000035,USA,4992.4649167362795,16.01025402004195
1657,New Mexico,US,2020-05-08 02:32:36,34.8405,-106.2485,4493,172,1073.0,3248.0,35.0,269.4399451165284,85684.0,687.0,3.8281771644780767,84000035,USA,5138.369075754424,15.290451813932785
2649,New Mexico,US,2020-05-09 02:32:39,34.8405,-106.2485,4673,181,1125.0,3367.0,35.0,280.23433419308645,89032.0,760.0,3.873314787074684,84000035,USA,5339.1447125784025,16.263642199871605
2591,New Mexico,US,2020-05-10 02:32:34,34.8405,-106.2485,4778,191,1189.0,3398.0,35.0,286.53106115441193,93262.0,789.0,3.9974884889074933,84000035,USA,5592.812855877514,16.513185433235662
1425,New Mexico,US,2020-05-11 02:32:34,34.8405,-106.2485,4863,200,1268.0,3395.0,35.0,291.62841155167536,97053.0,789.0,4.112687641373638,84000035,USA,5820.154683595468,16.224552745219
1483,New Mexico,US,2020-05-12 03:32:31,34.8405,-106.2485,5069,208,1285.0,3576.0,35.0,303.98199016151403,102498.0,789.0,4.10337344643914,84000035,USA,6146.684953161346,15.565200236733086
3229,New Mexico,US,2020-05-13 03:32:30,34.8405,-106.2485,5212,219,1300.0,3693.0,35.0,312.55753259455736,106721.0,886.0,4.2018419033000765,84000035,USA,6399.933314663038,16.999232540291633
3171,New Mexico,US,2020-05-14 03:32:32,34.8405,-106.2485,5364,231,1434.0,3699.0,35.0,321.67279448142847,110289.0,886.0,4.306487695749442,84000035,USA,6613.9020936916995,16.517524235645038
1891,New Mexico,US,2020-05-15 02:33:07,34.8405,-106.2485,5503,242,1515.0,3746.0,35.0,262.44390935073864,115011.0,886.0,4.397601308377249,84000035,USA,5484.9966306265305,16.10030892240596
1949,New Mexico,US,2020-05-16 02:32:24,34.8405,-106.2485,5662,253,1576.0,3833.0,35.0,270.02678806903185,119601.0,886.0,4.468385729424232,84000035,USA,5703.898601173486,15.648180854821618
735,New Mexico,US,2020-05-17 02:32:37,34.8405,-106.2485,5847,259,1671.0,3917.0,35.0,278.8496343764799,124458.0,886.0,4.429622028390628,84000035,USA,5935.534085039839,15.153069950401914
