,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1318,Tennessee,US,2020-04-12 23:18:15,35.7478,-86.6923,5508,106,1504.0,5402.0,47.0,83.90037425,70677.0,567.0,1.924473493,84000047,USA,1076.584377,10.29411765
1379,Tennessee,US,2020-04-13 23:07:54,35.7478,-86.6923,5610,109,1671.0,5501.0,47.0,85.45408488043054,76195.0,579.0,1.9429590017825311,84000047,USA,1160.6370761968635,10.320855614973262
631,Tennessee,US,2020-04-14 23:33:31,35.7478,-86.6923,5827,124,1969.0,5703.0,47.0,88.75952809,78831.0,633.0,2.1280247130000003,84000047,USA,1200.789833,10.86322293
572,Tennessee,US,2020-04-15 22:56:51,35.7478,-86.6923,5827,124,2196.0,5703.0,47.0,88.75952809238302,80896.0,663.0,2.128024712545049,84000047,USA,1232.2448574843688,11.378067616269092
1786,Tennessee,US,2020-04-16 23:30:51,35.7478,-86.6923,6375,136,2786.0,6239.0,47.0,97.10691463685288,85049.0,691.0,2.1333333333333333,84000047,USA,1295.505252227404,10.839215686274509
1845,Tennessee,US,2020-04-17 23:30:52,35.7478,-86.6923,6263,141,3017.0,6122.0,47.0,95.40087943068389,87273.0,711.0,2.251317260098994,84000047,USA,1329.3822370356174,11.352387034967267
922,Tennessee,US,2020-04-18 22:32:47,35.7478,-86.6923,6589,142,3234.0,6447.0,47.0,100.36666047721157,90586.0,719.0,2.1551069965093337,84000047,USA,1379.8473677323852,10.912126271057826
1062,Tennessee,US,2020-04-19 23:41:01,35.7478,-86.6923,7070,148,3344.0,6922.0,47.0,107.6934723894196,97098.0,724.0,2.093352192362093,84000047,USA,1479.0411290053555,10.24045261669024
397,Tennessee,US,2020-04-20 23:36:47,35.7478,-86.6923,7238,152,3575.0,7086.0,47.0,110.25252519867314,100689.0,730.0,2.1000276319425257,84000047,USA,1533.7408828031498,10.085659021829237
338,Tennessee,US,2020-04-21 23:40:34,35.7478,-86.6923,7394,157,3828.0,7237.0,47.0,112.6287885215514,108182.0,760.0,2.1233432512848256,84000047,USA,1647.8776845872974,10.27860427373546
2254,Tennessee,US,2020-04-22 23:40:26,35.7478,-86.6923,7394,157,4012.0,7237.0,47.0,112.6287885215514,114980.0,775.0,2.1233432512848256,84000047,USA,1751.4279286188778,10.481471463348662
2313,Tennessee,US,2020-04-24 03:33:00,35.7478,-86.6923,8266,171,4193.0,8095.0,47.0,125.9114911981531,123100.0,793.0,2.068715218969272,84000047,USA,1875.115481066132,9.593515606097268
3591,Tennessee,US,2020-04-25 06:32:46,35.7478,-86.6923,8728,169,4370.0,8559.0,47.0,132.9488864236003,131328.0,808.0,1.9362969752520625,84000047,USA,2000.4481388907636,9.25756186984418
3532,Tennessee,US,2020-04-26 02:32:45,35.7478,-86.6923,9189,177,4467.0,9012.0,47.0,139.9710491918496,141406.0,821.0,1.9262161279791052,84000047,USA,2153.96084253158,8.934595712264665
1202,Tennessee,US,2020-04-27 02:32:46,35.7478,-86.6923,9667,181,4527.0,9486.0,47.0,147.25216373246383,148221.0,828.0,1.8723492293369195,84000047,USA,2257.770038335525,8.565221888900382
